vulnerability_id,severity,status,class,target,package,installed_version,fixed_version,title
GHSA-6v7p-g79w-8964,HIGH,fixed,lang-pkgs,Python,msgpack,1.1.2,1.2.1,MessagePack for Python: Out-of-bounds read / crash on Unpacker reuse after a caught error
CVE-2025-47273,HIGH,fixed,lang-pkgs,Python,setuptools,70.3.0,78.1.1,setuptools: Path Traversal Vulnerability in setuptools PackageIndex
CVE-2022-3715,HIGH,affected,os-pkgs,ci-local/ocr-service (debian 11.11),bash,5.1-2+deb11u1,,bash: a heap-buffer-overflow in valid_parameter_transform
CVE-2026-53615,HIGH,affected,os-pkgs,ci-local/ocr-service (debian 11.11),bsdutils,1:2.36.1-8+deb11u2,,[Integer Overflow or Wraparound in libblkid/src/partitions/dos.c]
CVE-2022-42916,HIGH,will_not_fix,os-pkgs,ci-local/ocr-service (debian 11.11),curl,7.74.0-1.3+deb11u16,,curl: HSTS bypass via IDN
CVE-2022-43551,HIGH,will_not_fix,os-pkgs,ci-local/ocr-service (debian 11.11),curl,7.74.0-1.3+deb11u16,,curl: HSTS bypass via IDN
CVE-2023-23914,CRITICAL,will_not_fix,os-pkgs,ci-local/ocr-service (debian 11.11),curl,7.74.0-1.3+deb11u16,,curl: HSTS ignored on multiple requests
CVE-2026-5773,HIGH,fix_deferred,os-pkgs,ci-local/ocr-service (debian 11.11),curl,7.74.0-1.3+deb11u16,,curl: libcurl: Wrong file transfer due to incorrect SMB connection reuse
CVE-2026-6276,HIGH,fix_deferred,os-pkgs,ci-local/ocr-service (debian 11.11),curl,7.74.0-1.3+deb11u16,,curl: libcurl: Information disclosure due to cookie leak when reusing connections with custom Host headers
CVE-2026-8286,HIGH,fix_deferred,os-pkgs,ci-local/ocr-service (debian 11.11),curl,7.74.0-1.3+deb11u16,,curl: curl: Insecure connection establishment due to TLS configuration mismatch
CVE-2026-8458,HIGH,fix_deferred,os-pkgs,ci-local/ocr-service (debian 11.11),curl,7.74.0-1.3+deb11u16,,curl: libcurl: Unauthorized connection reuse due to a logical error
CVE-2026-8927,HIGH,fix_deferred,os-pkgs,ci-local/ocr-service (debian 11.11),curl,7.74.0-1.3+deb11u16,,curl: Information disclosure due to uncleared proxy authentication state
CVE-2025-68973,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),dirmngr,2.2.27-2+deb11u2,2.2.27-2+deb11u3,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write
CVE-2026-5201,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),gir1.2-gdkpixbuf-2.0,2.42.2+dfsg-1+deb11u3,2.42.2+dfsg-1+deb11u5,gdk-pixbuf: gdk-pixbuf: Denial of Service via heap-based buffer overflow when processing a specially crafted JPEG image
CVE-2025-48384,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),git-man,1:2.30.2-1+deb11u4,1:2.30.2-1+deb11u5,git: Git arbitrary code execution
CVE-2025-68973,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),gnupg,2.2.27-2+deb11u2,2.2.27-2+deb11u3,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write
CVE-2025-68973,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),gnupg-l10n,2.2.27-2+deb11u2,2.2.27-2+deb11u3,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write
CVE-2025-68973,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),gnupg-utils,2.2.27-2+deb11u2,2.2.27-2+deb11u3,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write
CVE-2025-68973,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),gpg,2.2.27-2+deb11u2,2.2.27-2+deb11u3,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write
CVE-2025-68973,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),gpg-agent,2.2.27-2+deb11u2,2.2.27-2+deb11u3,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write
CVE-2025-68973,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),gpg-wks-client,2.2.27-2+deb11u2,2.2.27-2+deb11u3,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write
CVE-2025-68973,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),gpg-wks-server,2.2.27-2+deb11u2,2.2.27-2+deb11u3,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write
CVE-2025-68973,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),gpgconf,2.2.27-2+deb11u2,2.2.27-2+deb11u3,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write
CVE-2025-68973,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),gpgsm,2.2.27-2+deb11u2,2.2.27-2+deb11u3,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write
CVE-2025-68973,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),gpgv,2.2.27-2+deb11u2,2.2.27-2+deb11u3,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write
CVE-2026-41992,HIGH,fix_deferred,os-pkgs,ci-local/ocr-service (debian 11.11),gzip,1.10-4+deb11u1,,GNU gzip contains a global buffer overflow vulnerability in the LZH de ...
CVE-2025-53014,CRITICAL,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),imagemagick,8:6.9.11.60+dfsg-1.3+deb11u5,8:6.9.11.60+dfsg-1.3+deb11u6,ImageMagick: ImageMagick Heap Buffer Overflow
CVE-2025-53019,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),imagemagick,8:6.9.11.60+dfsg-1.3+deb11u5,8:6.9.11.60+dfsg-1.3+deb11u6,ImageMagick: ImageMagick Memory Leak
CVE-2025-53101,CRITICAL,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),imagemagick,8:6.9.11.60+dfsg-1.3+deb11u5,8:6.9.11.60+dfsg-1.3+deb11u6,ImageMagick: ImageMagick Stack Buffer Overflow
CVE-2025-55154,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),imagemagick,8:6.9.11.60+dfsg-1.3+deb11u5,8:6.9.11.60+dfsg-1.3+deb11u6,imagemagick: ImageMagick: integer overflows in MNG magnification
CVE-2025-55212,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),imagemagick,8:6.9.11.60+dfsg-1.3+deb11u5,8:6.9.11.60+dfsg-1.3+deb11u6,ImageMagick: ImageMagick crash on crafted input
CVE-2025-55298,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),imagemagick,8:6.9.11.60+dfsg-1.3+deb11u5,8:6.9.11.60+dfsg-1.3+deb11u6,ImageMagick: ImageMagick Format String Bug in InterpretImageFilename leads to arbitrary code execution
CVE-2025-57803,HIGH,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),imagemagick,8:6.9.11.60+dfsg-1.3+deb11u5,8:6.9.11.60+dfsg-1.3+deb11u6,imagemagick: ImageMagick (WriteBMPImage): 32-bit integer overflow when writing BMP scanline stride → heap buffer overflo
CVE-2025-57807,CRITICAL,fixed,os-pkgs,ci-local/ocr-service (debian 11.11),imagemagick,8:6.9.11.60+dfsg-1.3+deb11u5,8:6.9.11.60+dfsg-1.3+deb11u6,imagemagick: ImageMagick BlobStream Forward-Seek Under-Allocation
