vulnerability_id,severity,status,class,target,package,installed_version,fixed_version,title
CVE-2026-34040,HIGH,fixed,lang-pkgs,usr/libexec/docker/cli-plugins/docker-compose,github.com/docker/docker,v28.5.2+incompatible,29.3.1,Moby: Moby: Authorization bypass vulnerability
CVE-2026-41567,HIGH,affected,lang-pkgs,usr/libexec/docker/cli-plugins/docker-compose,github.com/docker/docker,v28.5.2+incompatible,,docker: Moby/Docker Engine: Arbitrary Code Execution via malicious container image and compressed archive upload
CVE-2026-42306,HIGH,affected,lang-pkgs,usr/libexec/docker/cli-plugins/docker-compose,github.com/docker/docker,v28.5.2+incompatible,,github.com/docker/docker: github.com/moby/moby: Moby container framework: Host file overwrite via race condition in dock
GHSA-6v7p-g79w-8964,HIGH,fixed,lang-pkgs,Python,msgpack,1.1.2,1.2.1,MessagePack for Python: Out-of-bounds read / crash on Unpacker reuse after a caught error
CVE-2025-47273,HIGH,fixed,lang-pkgs,Python,setuptools,70.3.0,78.1.1,setuptools: Path Traversal Vulnerability in setuptools PackageIndex
CVE-2026-39822,HIGH,fixed,lang-pkgs,usr/libexec/docker/cli-plugins/docker-compose,stdlib,v1.26.4,"1.25.12, 1.26.5, 1.27.0-rc.2",golang: Go os.Root: Symlink following vulnerability allows directory traversal
CVE-2026-53615,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),bsdutils,1:2.38.1-5+deb12u3,,[Integer Overflow or Wraparound in libblkid/src/partitions/dos.c]
CVE-2026-12064,HIGH,fix_deferred,os-pkgs,ci-local/auth-gateway (debian 12.15),curl,7.88.1-10+deb12u15,,curl: curl: SSH host verification bypass when using schemeless URLs with SFTP/SCP
CVE-2026-6276,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),curl,7.88.1-10+deb12u15,,curl: libcurl: Information disclosure due to cookie leak when reusing connections with custom Host headers
CVE-2026-8286,HIGH,fix_deferred,os-pkgs,ci-local/auth-gateway (debian 12.15),curl,7.88.1-10+deb12u15,,curl: curl: Insecure connection establishment due to TLS configuration mismatch
CVE-2026-8458,HIGH,fix_deferred,os-pkgs,ci-local/auth-gateway (debian 12.15),curl,7.88.1-10+deb12u15,,curl: libcurl: Unauthorized connection reuse due to a logical error
CVE-2026-8927,HIGH,fix_deferred,os-pkgs,ci-local/auth-gateway (debian 12.15),curl,7.88.1-10+deb12u15,,curl: Information disclosure due to uncleared proxy authentication state
CVE-2026-41992,HIGH,fix_deferred,os-pkgs,ci-local/auth-gateway (debian 12.15),gzip,1.12-1,,GNU gzip contains a global buffer overflow vulnerability in the LZH de ...
CVE-2026-54369,HIGH,fix_deferred,os-pkgs,ci-local/auth-gateway (debian 12.15),libacl1,2.3.1-3,,acl: Symlink traversal privilege escalation via libacl functions
CVE-2026-53615,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),libblkid1,2.38.1-5+deb12u3,,[Integer Overflow or Wraparound in libblkid/src/partitions/dos.c]
CVE-2026-12064,HIGH,fix_deferred,os-pkgs,ci-local/auth-gateway (debian 12.15),libcurl4,7.88.1-10+deb12u15,,curl: curl: SSH host verification bypass when using schemeless URLs with SFTP/SCP
CVE-2026-6276,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),libcurl4,7.88.1-10+deb12u15,,curl: libcurl: Information disclosure due to cookie leak when reusing connections with custom Host headers
CVE-2026-8286,HIGH,fix_deferred,os-pkgs,ci-local/auth-gateway (debian 12.15),libcurl4,7.88.1-10+deb12u15,,curl: curl: Insecure connection establishment due to TLS configuration mismatch
CVE-2026-8458,HIGH,fix_deferred,os-pkgs,ci-local/auth-gateway (debian 12.15),libcurl4,7.88.1-10+deb12u15,,curl: libcurl: Unauthorized connection reuse due to a logical error
CVE-2026-8927,HIGH,fix_deferred,os-pkgs,ci-local/auth-gateway (debian 12.15),libcurl4,7.88.1-10+deb12u15,,curl: Information disclosure due to uncleared proxy authentication state
CVE-2023-2953,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),libldap-2.5-0,2.5.13+dfsg-5,,openldap: null pointer dereference in  ber_memalloc_x  function
CVE-2026-53615,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),libmount1,2.38.1-5+deb12u3,,[Integer Overflow or Wraparound in libblkid/src/partitions/dos.c]
CVE-2025-69720,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),libncursesw6,6.4-4,,ncurses: ncurses: Buffer overflow vulnerability may lead to arbitrary code execution.
CVE-2026-53615,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),libsmartcols1,2.38.1-5+deb12u3,,[Integer Overflow or Wraparound in libblkid/src/partitions/dos.c]
CVE-2025-7458,CRITICAL,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),libsqlite3-0,3.40.1-2+deb12u2,,sqlite: SQLite integer overflow
CVE-2026-58050,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),libssh2-1,1.10.0-3+b1,,libssh2: libssh2: Heap buffer overflow via integer overflow in publickey attribute allocation
CVE-2026-7598,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),libssh2-1,1.10.0-3+b1,,libssh2: integer overflow via large username or password arguments
CVE-2025-69720,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),libtinfo6,6.4-4,,ncurses: ncurses: Buffer overflow vulnerability may lead to arbitrary code execution.
CVE-2026-53615,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),libuuid1,2.38.1-5+deb12u3,,[Integer Overflow or Wraparound in libblkid/src/partitions/dos.c]
CVE-2026-53615,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),mount,2.38.1-5+deb12u3,,[Integer Overflow or Wraparound in libblkid/src/partitions/dos.c]
CVE-2025-69720,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),ncurses-base,6.4-4,,ncurses: ncurses: Buffer overflow vulnerability may lead to arbitrary code execution.
CVE-2025-69720,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),ncurses-bin,6.4-4,,ncurses: ncurses: Buffer overflow vulnerability may lead to arbitrary code execution.
CVE-2026-13221,CRITICAL,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),perl-base,5.36.0-7+deb12u3,,Perl versions through 5.43.9 produce silently incorrect regular expres ...
CVE-2026-42496,CRITICAL,fix_deferred,os-pkgs,ci-local/auth-gateway (debian 12.15),perl-base,5.36.0-7+deb12u3,,perl-archive-tar: perl-archive-tar: Path traversal via crafted symlinks allows arbitrary file access
CVE-2026-42497,HIGH,fix_deferred,os-pkgs,ci-local/auth-gateway (debian 12.15),perl-base,5.36.0-7+deb12u3,,perl-Archive-Tar: perl-Archive-Tar: Arbitrary file modification via crafted hardlinks during archive extraction
CVE-2026-48962,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),perl-base,5.36.0-7+deb12u3,,perl-IO-Compress: perl-IO-Compress: Arbitrary code execution via attacker-controlled output glob
CVE-2026-57432,HIGH,affected,os-pkgs,ci-local/auth-gateway (debian 12.15),perl-base,5.36.0-7+deb12u3,,perl: Perl: Information disclosure via integer overflow in pack/unpack operations
